bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,820.9488754272461,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1131.115112304688,0,0,0,1,1,0,100,1,1.1,0.9
3,1,774.5392532348633,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2070.587692260742,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1065.858253479004,0,0,0,1,1,0,100,1,1.1,0.9
6,1,730.4383773803711,0,0,0,1,1,0,100,1,1.1,0.9
7,1,876.8798446655273,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1061.667083740234,0,0,0,1,1,0,100,1,1.1,0.9
9,1,591.6504211425781,0,0,0,1,1,0,100,1,1.1,0.9
10,1,862.134033203125,0,0,0,1,1,0,100,1,1.1,0.9
11,1,894.7848587036133,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1328.410400390625,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1057.065155029297,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1491.533660888672,0,0,0,1,1,0,100,1,1.1,0.9
15,1,805.2856216430664,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1786.599342346191,0,0,0,1,1,0,100,1,1.1,0.9
17,1,526.9117050170898,0,0,0,1,1,0,100,1,1.1,0.9
18,1,599.440055847168,0,0,0,1,1,0,100,1,1.1,0.9
19,1,1861.39005279541,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1044.760269165039,0,0,0,1,1,0,100,1,1.1,0.9
