bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;715.9018173217773;0;0;0;1;1;0;100;1;1.1;0.9
2;1;986.3797607421875;0;0;0;1;1;0;100;1;1.1;0.9
3;1;675.4306793212891;0;0;0;1;1;0;100;1;1.1;0.9
4;1;1805.639251708984;0;0;0;1;1;0;100;1;1.1;0.9
5;1;929.4730529785156;0;0;0;1;1;0;100;1;1.1;0.9
6;1;636.9728851318359;0;0;0;1;1;0;100;1;1.1;0.9
7;1;764.6759719848633;0;0;0;1;1;0;100;1;1.1;0.9
8;1;925.8182220458984;0;0;0;1;1;0;100;1;1.1;0.9
9;1;515.943962097168;0;0;0;1;1;0;100;1;1.1;0.9
10;1;751.8170013427734;0;0;0;1;1;0;100;1;1.1;0.9
11;1;780.2898864746094;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1158.429512023926;0;0;0;1;1;0;100;1;1.1;0.9
13;1;921.8050918579102;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1300.679870605469;0;0;0;1;1;0;100;1;1.1;0.9
15;1;702.242790222168;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1557.989479064941;0;0;0;1;1;0;100;1;1.1;0.9
17;1;459.4890899658203;0;0;0;1;1;0;100;1;1.1;0.9
18;1;522.7368545532227;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1623.21012878418;0;0;0;1;1;0;100;1;1.1;0.9
20;1;911.0747299194336;0;0;0;1;1;0;100;1;1.1;0.9
