fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1;4;0;4.488563319151575;0;28624.57379120847;28624.57379120847;28624.57379120847;0;0;1;-30;30
1;5;0;17.20574647494112;0;25362.42930023325;25362.42930023325;25362.42930023325;0;0;1;-30;30
4;10;0;6.975271827035698;0;30724.85860046649;30724.85860046649;30724.85860046649;0;0;1;-30;30
4;18;0;52.02011118055755;0;21474.66805756414;21474.66805756414;21474.66805756414;0;0;1;-30;30
5;11;0;8.762166914326782;0;29116.12981039652;29116.12981039652;29116.12981039652;0;0;1;-30;30
5;13;0;143.9861383113565;0;20491.55601918805;20491.55601918805;20491.55601918805;0;0;1;-30;30
5;16;0;20.74761942374609;0;23262.14449097522;23262.14449097522;23262.14449097522;0;0;1;-30;30
6;14;0;11.23563706908092;0;25853.98531942129;25853.98531942129;25853.98531942129;0;0;1;-30;30
7;10;0;5.106669800408671;0;33987.00309144171;33987.00309144171;33987.00309144171;0;0;1;-30;30
7;12;0;4.831340603878026;0;33182.63869640672;33182.63869640672;33182.63869640672;0;0;1;-30;30
7;15;0;12.99765897403066;0;26345.54133860934;26345.54133860934;26345.54133860934;0;0;1;-30;30
7;17;0;150.2498570714255;0;20491.55601918805;20491.55601918805;20491.55601918805;0;0;1;-30;30
1;10;0;55.2367546840587;0;21787.47643341108;21787.47643341108;21787.47643341108;0;0;1;-30;30
8;18;0;14.43252815266809;0;26345.54133860934;26345.54133860934;26345.54133860934;0;0;1;-30;30
9;17;0;22.85810585050295;0;23574.95286682216;23574.95286682216;23574.95286682216;0;0;1;-30;30
9;18;0;16.13841569806482;0;25362.42930023325;25362.42930023325;25362.42930023325;0;0;1;-30;30
10;15;0;6.512377877943968;0;29607.68582958456;29607.68582958456;29607.68582958456;0;0;1;-30;30
10;16;0;52.1402876787344;0;21787.47643341108;21787.47643341108;21787.47643341108;0;0;1;-30;30
10;17;0;5.868947971236059;0;29607.68582958456;29607.68582958456;29607.68582958456;0;0;1;-30;30
11;13;0;8.277506750694574;0;28133.01777202042;28133.01777202042;28133.01777202042;0;0;1;-30;30
11;14;0;16.31392751348535;0;24066.50888601021;24066.50888601021;24066.50888601021;0;0;1;-30;30
13;19;0;2.525113918637903;0;37740.70360160498;37740.70360160498;37740.70360160498;0;0;1;-30;30
15;16;0;3.232057822533885;0;33182.63869640673;33182.63869640673;33182.63869640673;0;0;1;-30;30
1;14;0;13.04739191422483;0;27149.90573364433;27149.90573364433;27149.90573364433;0;0;1;-30;30
2;8;0;5.110470227251843;0;30099.24184877261;30099.24184877261;30099.24184877261;0;0;1;-30;30
2;9;0;10.62956804926189;0;29920.4942054315;29920.4942054315;29920.4942054315;0;0;1;-30;30
3;6;0;30.7052475073711;0;22770.58847178718;22770.58847178718;22770.58847178718;0;0;1;-30;30
3;8;0;19.5303033406361;0;22770.58847178718;22770.58847178718;22770.58847178718;0;0;1;-30;30
3;18;0;150.063583812073;0;20491.55601918805;20491.55601918805;20491.55601918805;0;0;1;-30;30
4;9;0;7.798482975386379;0;31707.97063884258;31707.97063884258;31707.97063884258;0;0;1;-30;30
