bus;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h24
1;493.845923;477.132060;483.207558;476.714107;471.826142;433.709199;424.107162;384.727042;347.235466;348.804459;339.026039;333.195400;397.738953;413.881181;415.691535;403.647539;328.131889;343.246840;310.745175;278.443228;276.910022;273.462814;280.773118;344.508932
2;67.922685;77.760037;84.101206;80.868831;68.115402;52.323480;50.221057;69.008255;77.721058;79.723663;67.560573;65.845779;65.965913;86.942217;109.432649;108.913249;106.579802;115.173896;120.640006;106.926175;92.505198;70.914581;48.876268;74.998032
3;117.377775;109.913794;98.042948;93.409516;123.987765;146.619491;127.973953;95.104224;86.619151;75.367350;66.166402;75.466468;83.769135;97.905217;113.533624;115.405587;90.025871;70.492580;54.709736;35.083870;24.450640;21.389546;17.874337;16.016484
4;104.706944;109.807616;117.667157;106.504831;105.132801;100.862851;82.369760;62.300685;57.650093;61.559930;39.478166;41.303963;58.553698;59.058149;43.162552;34.459703;20.590085;23.173228;32.565967;46.965394;55.748863;54.625707;38.242214;37.053198
5;337.701630;324.305092;310.037648;283.971193;307.159407;327.492526;395.080589;458.091923;542.114694;631.483905;539.022315;761.697517;1310.944919;1523.689075;1339.457048;1124.275851;1076.042526;1038.218173;1015.766768;989.876179;986.840832;1028.918023;844.476570;1011.177001
6;31.771745;30.853856;28.272429;30.161326;37.462531;44.724632;52.364720;60.112267;73.526057;78.329472;62.604958;85.222475;141.579819;151.691884;161.350547;167.326769;120.932032;128.228501;159.491705;163.126385;160.138067;158.269561;119.497605;112.926237
7;366.712613;400.329943;399.919309;392.286100;388.091721;377.674938;361.756761;340.092075;330.482720;300.379821;239.008834;252.918483;326.282219;371.068710;381.715110;335.964017;256.928245;167.419662;143.026000;110.339342;101.430268;100.587826;66.018039;63.335651
8;9.280415;12.449088;15.228774;21.623413;23.350295;18.893291;13.757290;14.241339;14.451592;14.006741;12.150817;12.234554;13.884592;16.694354;24.382907;26.963718;24.112302;32.793725;44.234833;46.046574;39.676664;32.316399;30.140585;37.720648
9;79.273055;58.698351;43.522447;33.347014;20.722609;12.431707;11.592682;12.174342;14.170784;20.087217;21.013962;21.418283;36.782428;43.053950;41.038607;33.688592;24.801364;19.316546;16.302788;18.202652;21.697019;27.582528;17.592580;23.735288
10;626.371777;553.209262;487.788261;387.203556;348.658639;268.705621;224.107942;196.459959;193.561119;207.714156;164.995141;153.422614;174.935583;194.608347;186.519854;140.511065;90.996418;95.597943;152.563660;195.924877;213.403328;204.655705;131.903690;130.206363
11;2023.692919;1998.433702;2230.258170;2541.076042;3165.441448;3836.979464;4854.635567;5748.624621;6218.502615;6425.531631;6306.647684;9336.190702;10197.444480;10946.002707;10566.037261;9780.794459;7907.752072;7612.765171;7636.372521;8054.840285;8432.178254;8710.047820;7935.947767;9124.263299
12;374.781161;387.283377;372.434934;317.580705;249.510779;209.284890;195.497508;157.968648;127.222040;107.185900;129.288066;162.055717;189.066626;202.112796;201.716026;181.388190;150.861052;147.210765;105.438284;63.604277;51.047249;73.309556;66.692498;40.134481
13;0.000000;0.000000;0.000000;92.792470;169.761914;232.703450;336.700271;470.917480;594.450658;643.861426;506.180190;734.834350;1027.248280;1110.880167;1207.724816;1192.494189;1156.382366;1293.787220;1388.292140;1445.811813;1421.975137;1432.244282;1097.458150;1190.396906
14;3687.857518;3492.225869;3352.954133;3373.385007;3571.128930;3394.513163;3256.656656;3087.354080;2924.775369;2715.781121;2671.895392;3138.148057;2661.361946;2480.213523;2811.643728;2647.548101;2040.534562;2291.693572;2422.222289;2256.101457;2157.128259;1875.922505;1330.643461;1503.531354
15;527.737042;492.621259;526.652110;528.106534;548.823737;503.630030;453.603581;424.146779;404.093229;406.937037;329.037465;305.523427;323.953333;360.140154;381.781872;320.022368;285.063233;236.855535;207.451369;192.797848;206.057430;241.998928;182.513325;192.161002
16;371.616540;269.083313;226.900130;200.044467;247.023153;295.551802;327.270191;318.383056;343.992926;345.210129;285.732651;331.287808;401.364726;433.593790;429.345175;455.178753;412.046757;273.000529;214.506476;226.123022;265.491421;321.215410;210.089353;181.091711
17;272.720244;205.102242;165.882880;129.000437;104.867116;75.141143;58.965825;45.085592;38.159974;48.276646;41.690246;51.437122;57.445371;48.857802;51.490773;51.879690;30.049987;26.379017;42.503678;62.928222;73.680534;75.899561;41.056136;50.103639
18;88.242250;98.175142;95.444986;94.246751;94.776676;88.417833;81.206644;68.587157;51.263257;34.240061;27.388545;18.920570;19.817138;37.897020;45.412384;36.268513;35.100956;33.872239;25.113173;16.380534;20.597355;26.795669;34.006165;51.451463
19;126.732985;118.258638;93.917081;54.694135;34.475381;19.095899;8.718184;4.915094;4.760855;4.666241;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;3.525934;3.622427;0.000000;0.000000;0.000000;0.000000
20;1417.326709;1418.804640;1401.042233;1348.304777;1325.554302;1293.498382;1239.926049;1093.799516;874.266771;633.106992;415.593490;363.307464;329.065361;254.519560;166.775413;167.673939;224.454148;236.943839;272.968889;292.075259;215.208717;182.518350;117.823103;115.305004
