bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,909.9086837768555,0,0,0,1,1,0,100,1,1.1,0.9
2,1,1253.685180664062,0,0,0,1,1,0,100,1,1.1,0.9
3,1,858.4700088500977,0,0,0,1,1,0,100,1,1.1,0.9
4,1,2294.961059570312,0,0,0,1,1,0,100,1,1.1,0.9
5,1,1181.356910705566,0,0,0,1,1,0,100,1,1.1,0.9
6,1,809.5902709960938,0,0,0,1,1,0,100,1,1.1,0.9
7,1,971.9004516601562,0,0,0,1,1,0,100,1,1.1,0.9
8,1,1176.711654663086,0,0,0,1,1,0,100,1,1.1,0.9
9,1,655.7629623413086,0,0,0,1,1,0,100,1,1.1,0.9
10,1,955.5567245483398,0,0,0,1,1,0,100,1,1.1,0.9
11,1,991.7456970214844,0,0,0,1,1,0,100,1,1.1,0.9
12,1,1472.359832763672,0,0,0,1,1,0,100,1,1.1,0.9
13,1,1171.611022949219,0,0,0,1,1,0,100,1,1.1,0.9
14,1,1653.15950012207,0,0,0,1,1,0,100,1,1.1,0.9
15,1,892.5481262207031,0,0,0,1,1,0,100,1,1.1,0.9
16,1,1980.199119567871,0,0,0,1,1,0,100,1,1.1,0.9
17,1,584.0089950561523,0,0,0,1,1,0,100,1,1.1,0.9
18,1,664.3966979980469,0,0,0,1,1,0,100,1,1.1,0.9
19,1,2063.094352722168,0,0,0,1,1,0,100,1,1.1,0.9
20,1,1157.972770690918,0,0,0,1,1,0,100,1,1.1,0.9
